     0         7.2	6.36599e-314
     1       7.075	4.94066e-324
     2        6.95	2.21441e-314
     3       6.825	nan
     4         6.7	6.44699e-314
     5       6.575	6.94311e-310
     6        6.45	0
     7       6.325	3.23796e-319
     8         6.2	0
     9     6.33333	6.94317e-310
    10     6.46667	0
    11         6.6	2.122e-314
    12     6.73333	6.44699e-314
    13     6.86667	6.94307e-310
    14           7	6.44699e-314
    15     7.13333	6.44699e-314
    16     7.26667	6.44699e-314
    17         7.4	6.44699e-314
    18     7.53333	0
    19     7.66667	2.122e-314
    20         7.8	2.122e-314
    21        7.82	6.44699e-314
    22        7.84	6.44699e-314
    23        7.86	6.44699e-314
    24        7.88	6.44699e-314
    25         7.9	6.44699e-314
    26        7.92	4.94066e-324
    27        7.94	6.9431e-310
    28        7.96	0
    29        7.98	6.44699e-314
    30           8	6.44699e-314
    31        8.02	6.44699e-314
    32        8.04	6.44699e-314
    33        8.06	6.94307e-310
    34        8.08	6.36599e-314
    35         8.1	6.94307e-310
    36        8.12	4.94066e-324
    37        8.14	6.94312e-310
    38        8.16	2.122e-314
    39        8.18	5.21502e-310
    40         8.2	6.44699e-314
